quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName
200402,630425,13.64295,16.99,12.99,9.99,193,01/02/2004,01/02/2004,103439,2004,2,1,Matched (3),Non Fiction Harback
200402,630426,7.348907,7.99,7.99,6.99,193,01/02/2004,01/02/2004,103439,2004,2,1,Matched (3),Non Fiction Paperback
200403,630425,13.47652,16.99,12.99,9.99,194,01/03/2004,01/03/2004,105011,2004,3,1,Matched (3),Non Fiction Harback
200403,630426,7.637304,7.99,7.99,7.99,194,01/03/2004,01/03/2004,105011,2004,3,1,Matched (3),Non Fiction Paperback
200404,630425,12.2816,13.99,10.97,9.99,195,01/04/2004,01/04/2004,105509,2004,4,2,Matched (3),Non Fiction Harback
200404,630426,6.956842,7.99,7.99,4.99,195,01/04/2004,01/04/2004,105509,2004,4,2,Matched (3),Non Fiction Paperback
200405,630425,11.33105,13,9.99,9.96,196,01/05/2004,01/05/2004,107319,2004,5,2,Matched (3),Non Fiction Harback
200405,630426,6.358088,7.99,6.99,4.99,196,01/05/2004,01/05/2004,107319,2004,5,2,Matched (3),Non Fiction Paperback
200406,630425,11.39137,12.99,9.99,7.99,197,01/06/2004,01/06/2004,107774,2004,6,2,Matched (3),Non Fiction Harback
200406,630426,6.59856,7.99,6.99,4.99,197,01/06/2004,01/06/2004,107774,2004,6,2,Matched (3),Non Fiction Paperback
200407,630426,6.543406,6.99,6.99,5.99,198,01/07/2004,01/07/2004,106865,2004,7,3,Matched (3),Non Fiction Paperback
200407,630425,11.75536,13.99,9.99,9.97,198,01/07/2004,01/07/2004,106865,2004,7,3,Matched (3),Non Fiction Harback
200408,630425,11.89534,14.47,10.96,9.96,199,01/08/2004,01/08/2004,105050,2004,8,3,Matched (3),Non Fiction Harback
200408,630426,6.591894,6.99,6.99,5.99,199,01/08/2004,01/08/2004,105050,2004,8,3,Matched (3),Non Fiction Paperback
200409,630425,12.42761,15.99,10.96,9.99,200,01/09/2004,01/09/2004,104170,2004,9,3,Matched (3),Non Fiction Harback
200409,630426,7.072901,7.99,6.99,5.99,200,01/09/2004,01/09/2004,104170,2004,9,3,Matched (3),Non Fiction Paperback
200410,630426,7.217301,7.99,6.99,6.99,201,01/10/2004,01/10/2004,105471,2004,10,4,Matched (3),Non Fiction Paperback
200410,630425,12.00945,14.49,10.475,9.99,201,01/10/2004,01/10/2004,105471,2004,10,4,Matched (3),Non Fiction Harback
200411,630426,6.897744,7.99,6.99,5.99,202,01/11/2004,01/11/2004,106502,2004,11,4,Matched (3),Non Fiction Paperback
200411,630425,12.74817,15.99,12.97,9.99,202,01/11/2004,01/11/2004,106502,2004,11,4,Matched (3),Non Fiction Harback
200412,630426,6.975664,7.99,6.99,5.99,203,01/12/2004,01/12/2004,106782,2004,12,4,Matched (3),Non Fiction Paperback
200412,630425,14.09374,16.99,13.99,12,203,01/12/2004,01/12/2004,106782,2004,12,4,Matched (3),Non Fiction Harback
200501,630425,13.16016,15.99,12.97,9.99,204,01/01/2005,01/01/2005,103613,2005,1,1,Matched (3),Non Fiction Harback
200501,630426,6.740307,7.99,6.99,5.99,204,01/01/2005,01/01/2005,103613,2005,1,1,Matched (3),Non Fiction Paperback
200502,630426,6.852344,7.99,6.99,5.99,205,01/02/2005,01/02/2005,108851,2005,2,1,Matched (3),Non Fiction Paperback
200502,630425,15.80583,18.99,17.99,12.97,205,01/02/2005,01/02/2005,108851,2005,2,1,Matched (3),Non Fiction Harback
200503,630426,6.60338,7.99,6.99,4.99,206,01/03/2005,01/03/2005,109174,2005,3,1,Matched (3),Non Fiction Paperback
200503,630425,13.09376,14.99,12.99,9.99,206,01/03/2005,01/03/2005,109174,2005,3,1,Matched (3),Non Fiction Harback
200504,630425,12.57818,14.99,12,9.99,207,01/04/2005,01/04/2005,112133,2005,4,2,Matched (3),Non Fiction Harback
200504,630426,6.472949,6.99,6.99,4.99,207,01/04/2005,01/04/2005,112133,2005,4,2,Matched (3),Non Fiction Paperback
200505,630426,6.848692,8.99,6.99,4.99,208,01/05/2005,01/05/2005,111815,2005,5,2,Matched (3),Non Fiction Paperback
200505,630425,13.69307,17,12.97,10,208,01/05/2005,01/05/2005,111815,2005,5,2,Matched (3),Non Fiction Harback
200506,630425,13.50392,15.99,13.99,9.99,209,01/06/2005,01/06/2005,114133,2005,6,2,Matched (3),Non Fiction Harback
200506,630426,6.739473,8.99,6.99,4.99,209,01/06/2005,01/06/2005,114133,2005,6,2,Matched (3),Non Fiction Paperback
200507,630426,6.836898,8.99,6.99,4.99,210,01/07/2005,01/07/2005,112702,2005,7,3,Matched (3),Non Fiction Paperback
200507,630425,15.44953,17.99,14.99,13.99,210,01/07/2005,01/07/2005,112702,2005,7,3,Matched (3),Non Fiction Harback
200508,630425,15.76312,18.99,14.99,14.99,211,01/08/2005,01/08/2005,111794,2005,8,3,Matched (3),Non Fiction Harback
